#Charged Hadron Raa in Pb+Pb collisions at 0-5% centrality
# sqrt(s)=5.02TeV, |eta|<2.5
#pT	RAA	dpTL	dpTH	stat	ELow		Ehigh
6.3	0.14	0.8	0.7	0	0.01		0.01
7.37	0.14	0.37	0.63	0	0.01		0.01
8.28	0.14	0.28	0.72	0	0.01		0.01
9.49	0.15	0.49	0.51	0	0.02		0.01
10.88	0.17	0.88	0.12	0	0.01		0.01
12.21	0.17	1.21	0.79	0	0.01		0.02
14.15	0.2	1.15	0.85	0	0.02		0.01
16.05	0.22	1.05	0.95	0	0.02		0.02
18.79	0.26	1.79	1.21	0	0.02		0.02
21.54	0.28	1.54	0.46	0	0.02		0.03
24.7	0.29	2.7	0.3	0	0.03		0.02
27.73	0.32	2.73	2.27	0	0.03		0.03
33.51	0.38	3.51	4.49	0	0.04		0.03
43.12	0.39	5.12	4.88	0	0.04		0.04
53.78	0.45	5.78	4.22	0	0.04		0.06
67.77	0.61	9.77	6.23	0	0.07		0.08
84.52	0.62	10.52	5.48	0	0.08		0.07
107.64	0.72	17.64	12.36	0	0.09		0.08
135.65	0.57	15.65	24.35	0	0.06		0.08
170.95	0.7	10.95	29.05	0	0.1		0.09
215.44	0.74	15.44	34.56	0	0.11		0.09
271.51	0.76	21.51	28.49	0	0.09		0.11
